User ID,Employer Number,Creation Date(user),Username,Password,Level
1,7771844243,30-07-2002,dhenden0,FfzYwPG,III
2,7595433932,23-04-2002,mkennelly1,PB7DAYgM,III
3,3408649677,16-10-1997,wduley2,y3zKmWFc,Jr
4,248156764,16-03-2001,ydalziel3,a810x7W,Jr
5,7304500069,27-03-1997,santuoni4,qMgtimP0,III
6,2446777554,21-08-2004,gbinks5,dSSCx2m,IV
7,9337481960,13-03-1993,obischof6,wlQUqgrXO,III
8,1381830684,05-03-1999,aswedeland7,tc02hf,Jr
9,5555021186,22-07-2006,lkeward8,85f4Cwc,III
10,1856416305,19-03-2004,daxford9,AtEPLAqf,Sr
11,7935334722,09-10-2001,bedea,ZRRk0e,Sr
12,2534065157,21-02-1994,sbagnoldb,908z7CSPzz,IV
13,4817331429,17-06-1997,ndillingstonec,nsExhNP04N63,III
14,1943096376,29-08-2004,pbroadstockd,OLV8o3d,Sr
15,5180712173,01-11-1994,nbisacree,lek01JZED,IV
16,3874904342,27-03-1993,wpettiforf,vO4lSoYBzk,Jr
17,9074371329,15-04-2000,edallmang,pbTXV0JRY,II
18,728101319,25-10-1994,rensleyh,4RYtgj6OONwl,III
19,163964955,14-02-1993,apawsoni,1ai2pTFYQlP,IV
20,629716951,19-12-1993,atomesj,VX9feL,Sr
21,6233356105,26-07-1994,byousefk,T59U6dNqH,IV
22,9754425620,31-03-2004,bestevezl,iysLqPbn0Ixn,IV
23,8529274091,12-02-1992,kcorbiem,b0qd6Ue,IV
24,6500493796,22-12-1993,zhemerijkn,xWj6bFjgdc,Jr
25,7847008777,27-01-2002,whallifaxo,kR0Dns,IV
26,4866655364,16-09-1995,sworpolep,RZ7dS6,II
27,3844738460,07-12-2001,cvenourq,gB6Wfz3GOj,IV
28,3117482342,23-04-1997,mkinnonr,cl114jX1c,Jr
29,6596106586,27-03-2001,rseverns,5D7BeyBIZjRD,IV
30,7822927140,08-08-1993,pbarthelemyt,Wvql8LS,II
31,4743987830,05-08-1996,elebosseu,ToVEAbcW,II
32,8715185702,27-09-2004,tizodv,NuBALF9LUi6,IV
33,7763488751,17-12-1997,nmacveyw,ciV4HPETR6,Jr
34,782948103,23-02-1996,gdydex,UdEjmquN6pZ,Sr
35,1410785181,13-03-1992,mphilippy,emFPoP,IV
36,5788227410,08-12-2006,icasementz,D3BVnHvj6B1,II
37,1362737747,13-10-1991,bsains10,AOtuFVGHoOXU,IV
38,748611304,17-12-1990,ibabbe11,XAEFF48K,Jr
39,3504552476,30-07-1992,pantonovic12,HNKHgf54p,IV
40,9383417315,14-05-1991,kbisley13,Ege46VDSris,Sr
41,1228469229,08-10-2005,santal14,utXAm6XjK6,IV
42,9861260331,25-08-2006,cconcklin15,uyTSmD79P,III
43,936173130,27-11-1997,shaygreen16,EFpWhkvul6es,Sr
44,200248774,16-11-2002,itonkes17,JOkA57mOuQM,Jr
45,2460595204,06-05-1994,bduckels18,id8xBdRA6,Jr
46,5967642218,18-02-1998,lfolonin19,5VwGTl1r,Sr
47,604695683,31-03-2000,dklebes1a,D7kmIhPV4Lan,IV
48,9834739044,24-06-1991,forable1b,4SV42Q5ldP,III
49,7544615073,10-09-2000,acarty1c,gch8ui8z5,II
50,1320614337,14-01-2005,cbraundt1d,sHgLg7E2,Jr
51,1649069855,14-08-2000,jmaypowder1e,yyVFM2iyx,II
52,8009645826,02-08-2002,bkunkler1f,ggRgSF78Kq,IV
53,7240754863,26-02-1995,lstede1g,5BFkMAaNFMIK,Sr
54,9547496204,11-08-2002,ncundey1h,7Ut4NDnvlFAV,Jr
55,9116248708,14-12-2002,ctubridy1i,SUbIOcmjYQ,Sr
56,230299288,30-03-1990,ccayette1j,qcGpFFO,II
57,2583516949,17-03-2003,ischulken1k,D3FclJRS3M,Sr
58,1026088747,03-06-1998,nlampen1l,wETpiPjEc,II
59,6184503243,23-03-1995,tollarenshaw1m,RpIHj13u,II
60,3474271601,16-10-2001,tpetricek1n,EiCVlb,Jr
61,9774535189,05-03-1994,smcclifferty1o,wIYtEv,Jr
62,273469983,08-01-2002,ekharchinski1p,jrDP2yyKrDm,Jr
63,5738439740,06-08-2002,spetren1q,KdvA7OXURXVa,IV
64,9515815800,01-01-1993,cvann1r,CJ2VeLC,III
65,7049753017,11-11-2006,jdorow1s,HBax8xdjS,III
66,8421008005,29-01-2001,mbellison1t,6lYbEnuFIV,IV
67,6201265783,05-01-1997,yharkness1u,gu20RACBtA,Sr
68,2077426691,04-10-1997,hpriden1v,VQY8IY,Jr
69,3445114269,19-12-1998,cohartagan1w,YesxhTviJS,Jr
70,6267605949,17-11-2000,jcawthry1x,CqOXPZp,Jr
71,9951857906,19-06-2002,jtodor1y,BCDm7V4YCi2Y,III
72,75873176,21-02-2006,cferney1z,4nzyo5YEdoU,Sr
73,5377233131,19-12-2005,adome20,JnPVR6ZR,Sr
74,2180763352,14-07-2000,nterrington21,GmBn8nVE7W,III
75,2940643296,09-01-1995,jcanaan22,rOyMtv,III
76,5108796064,21-03-1996,mtackett23,USxiatt,Sr
77,5638212922,05-06-2003,hdurbyn24,HbGnINe2,IV
78,1041310137,17-01-2006,lwatkiss25,RJGozp,II
79,3386559379,30-11-2001,lpleasance26,JU0gTpLp,Jr
80,1859433987,08-01-2002,jroulston27,o1AxjDM,IV
81,7046006989,15-04-2001,nheadingham28,5fio8dOQm,Sr
82,7538738037,29-11-2000,cebdon29,pM3ww7NFUuyR,Sr
83,2432878493,05-09-2002,ctumulty2a,yPGt1fL,Sr
84,9733901881,26-02-1994,jjobbins2b,CwAiZ3qv6,Sr
85,1932574387,08-07-1997,ybouller2c,zwMqQ6PmJm,Sr
86,9881298091,30-01-2006,tperkis2d,p4zcvUMxko,II
87,5488047239,29-10-1993,phance2e,wQhAsn,III
88,8137747222,03-02-1992,rjearum2f,dNPSecHsyMo,III
89,8204434995,18-12-1990,ekamen2g,ODhsB3kVoC,II
90,9653258125,18-02-1994,plundbeck2h,tHpVVbN,Sr
91,94150761,23-07-2006,msuero2i,VkreTpgYN,IV
92,1081399929,28-04-1998,jsains2j,SGo6RZwLimxM,III
93,7660656414,07-04-1990,ckohrs2k,Wjntct,II
94,4437384458,18-07-2002,irounsivall2l,VxcDLeX,Jr
95,8157504023,31-08-1993,kmcdermid2m,J3Whzse,Jr
96,662176332,10-02-2005,hconibeer2n,l8QxexW8TGf,Sr
97,2106966997,08-11-2004,emoralas2o,yzwvjLbhvm,Jr
98,7164348235,17-08-2006,ewoolnough2p,DEayxne9qW,Jr
99,9373669877,21-05-1997,bhallows2q,q2MWow,Sr
100,7038960601,22-08-2000,seppson2r,ciwrgx59hma,Jr
101,7837716760,27-03-1996,vbracey2s,LLk9WQwFFJS,Sr
102,9095207412,15-08-2002,acharlon2t,949Rg8ioLkQ,Jr
103,3334771113,06-05-2001,maronsohn2u,hUizjNVZ4,Sr
104,6284224249,06-08-1997,lbenford2v,I2MT8Ljh,IV
105,1764179447,06-08-1999,kcomberbach2w,Zad0OpeEbW,IV
106,1587362716,18-10-1999,kfery2x,qZN0s37UhyZn,II
107,8461040902,21-06-2003,nades2y,cbURzfzBTL,II
108,2104944708,15-06-2005,gbartosik2z,ENNJyaWAzr,Jr
109,1070537268,05-10-2003,astoner30,NvoJGT7r,Jr
110,5934175793,05-04-1996,bferrarone31,uO8sQ97s13V,Jr
111,2811361685,31-07-1994,bskalls32,2bHjWHd,III
112,5881052692,04-02-1993,ebellringer33,QyNpGKoj,III
113,9699764007,12-07-1997,mgeorghiou34,omZfB0xlx,II
114,467900183,15-02-1998,trutgers35,ImuPnvdgUZI,II
115,8198388494,24-10-1993,cmeineking36,C7Ht3KBf,Jr
116,9739767966,02-05-2006,pthackray37,WwD5Jyqg,III
117,8732536496,23-06-1999,oberens38,KZBi5cr,Sr
118,3017335348,20-12-2002,kcoddington39,eIG2KRh,III
119,3189388962,22-08-2001,wcolbourn3a,1lYe6zyWpaF,III
120,6509471329,15-12-1994,rgorch3b,l4RRyzsb,Jr
121,161445659,30-01-1996,rmackeever3c,aR8eW4lF4g,IV
122,3909297285,25-03-1993,mperkinson3d,J1qKvs,IV
123,7978410447,29-10-1998,acorneljes3e,xEHPojI,Sr
124,7606195528,25-05-1992,kcarnie3f,AiynCDMp,IV
125,1190692414,28-06-1999,amcmurty3g,hZ7HQCf,IV
126,9355943326,10-08-1996,fbradnock3h,lxUfaZ,Sr
127,2847264795,07-02-1993,abriand3i,P9azA9WrUHn,Jr
128,4436040445,02-12-1998,dnoah3j,GbFdjlSQ8,Sr
129,9426359052,27-04-1999,awannan3k,MdJylfz,Jr
130,798138521,23-11-2006,odripps3l,hYijFmF,Sr
131,1904857965,06-02-2005,cwooder3m,igwQsOx2FX,Sr
132,3814062345,23-11-2004,hcristofalo3n,9OQE1W0,III
133,4652056648,26-11-1998,blortzing3o,euKPPa4kbn9,III
134,3131989041,11-10-1993,jsnookes3p,KPQIsUo9c,Sr
135,4642010858,17-04-2002,cernshaw3q,X5qJekT7L0g2,II
136,9041083952,06-09-1990,mblaker3r,sMUrzNKf,Jr
137,3270253737,01-09-2006,pgisburne3s,T0i3Po,Sr
138,580099989,05-09-2002,emepsted3t,FZgLPs,Sr
139,1780385595,15-03-1999,cleithgoe3u,qbPuaoFDt4y,Jr
140,1487143826,16-07-1997,sgrubb3v,rYsCATnstXz,Jr
141,2296975747,11-06-1999,rcristofalo3w,cVG0too,IV
142,1451724543,18-09-2000,rclausius3x,wotxwdQCq8,Jr
143,5323011610,22-11-1994,abakhrushkin3y,7DjeE6AsT,Jr
144,8400490444,03-12-2002,jhulcoop3z,8CPIELee,Sr
145,7174609805,09-04-2004,tsellner40,UFYRWws,III
146,4787620738,11-10-2003,jhanselman41,aoo4Crk3y,II
147,9354440142,07-06-2002,minchley42,wZeWvW,IV
148,6882406707,10-06-1994,cashplant43,L3kdlbSYt,Jr
149,7627842735,03-01-2001,mladson44,mF7XlC9FdvJ,III
150,8839001999,22-10-1994,rgontier45,oLvyAmx,III
151,807312045,02-08-1990,ktrase46,sIjHEkEBDF8y,Jr
152,6931816292,03-08-2004,sassad47,JtzeaXEyR,IV
153,1347122001,27-12-2001,fheiton48,OYlgLwFRj5,III
154,2032401096,26-03-1991,ssteuhlmeyer49,7VmsNv9yuNgr,II
155,7998146028,03-03-1992,mcrockett4a,hK1m9vWMG6BS,IV
156,9700987779,11-03-1995,mizakovitz4b,UdRKgY,III
157,908949243,03-12-1991,croff4c,uthG0l3a,IV
158,1316202984,12-05-2006,rstoppe4d,Fl3hi12Gqj,III
159,8549950335,15-04-1994,eclee4e,98hT4b3,III
160,2725177855,07-04-1990,xbispham4f,MJCfw2P,IV
161,5910432184,16-11-2006,cphare4g,P5Sbbdu,Sr
162,7800475859,25-12-2005,dcantle4h,dEUj9Q6ViBp,III
163,1776227220,14-12-1995,eblanque4i,DROCVKo,III
